,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,CodeSum,PrecipTotal,StnPressure,SeaLevel,AvgSpeed,Sunrise(hrs),Sunset(hrs),WindDirection,WindSpeed,StationLat,StationLong,StationElev_ft
26,1,2007-05-14,90,56,73,15.0,47,59,0,8, ,0.0,29.23,29.97,17.3,4.55,19.05,210,16.9,41.995,-87.933,662
27,2,2007-05-14,90,54,72,14.0,45,58,0,7, ,0.0,29.31,29.98,14.6,4.55,19.05,210,14.1,41.786,-87.752,612
28,1,2007-05-15,80,57,69,11.0,56,61,0,4,RA BR,0.38,29.13,29.84,12.3,4.533333333333333,19.066666666666666,270,8.1,41.995,-87.933,662
29,2,2007-05-15,82,56,69,11.0,56,61,0,4,TSRA RA BR,0.6,29.19,29.83,10.8,4.533333333333333,19.066666666666666,250,8.1,41.786,-87.752,612
30,1,2007-05-16,66,44,55,-4.0,43,48,10,0,RA BR,0.14,29.33,30.03,12.2,4.516666666666667,19.083333333333332,360,7.8,41.995,-87.933,662
31,2,2007-05-16,64,45,55,-4.0,42,47,10,0,RA BR,0.07,29.39,30.03,11.8,4.516666666666667,19.083333333333332,360,8.0,41.786,-87.752,612
32,1,2007-05-17,62,43,53,-6.0,32,43,12,0, ,0.0,29.55,30.27,11.3,4.5,19.1,30,10.5,41.995,-87.933,662
33,2,2007-05-17,61,44,53,-6.0,32,43,12,0, ,0.0,29.62,30.27,12.2,4.5,19.1,10,11.7,41.786,-87.752,612
34,1,2007-05-18,71,42,57,-3.0,30,46,8,0, ,0.0,29.53,30.25,7.5,4.483333333333333,19.116666666666667,250,5.4,41.995,-87.933,662
35,2,2007-05-18,70,43,57,-3.0,31,47,8,0, ,0.0,29.6,30.26,5.5,4.483333333333333,19.116666666666667,220,3.4,41.786,-87.752,612
36,1,2007-05-19,80,56,68,8.0,39,53,0,3, ,0.0,29.34,30.08,11.4,4.466666666666667,19.133333333333333,240,11.1,41.995,-87.933,662
37,2,2007-05-19,80,56,68,8.0,37,53,0,3, ,0.0,29.41,30.08,11.4,4.466666666666667,19.133333333333333,230,11.1,41.786,-87.752,612
38,1,2007-05-20,69,43,56,-5.0,40,44,9,0,RA VCTS,0.07,29.38,30.11,10.7,4.45,19.15,40,10.4,41.995,-87.933,662
39,2,2007-05-20,69,44,57,-4.0,41,45,8,0,TSRA RA,0.11,29.44,30.11,9.7,4.45,19.15,30,8.6,41.786,-87.752,612
40,1,2007-05-21,80,44,62,1.0,50,56,3,0, ,0.0,29.33,30.06,8.2,4.433333333333334,19.166666666666668,110,6.3,41.995,-87.933,662
41,2,2007-05-21,79,46,63,2.0,50,57,2,0, ,0.0,29.39,30.05,7.8,4.433333333333334,19.166666666666668,100,6.3,41.786,-87.752,612
42,1,2007-05-22,87,55,71,10.0,46,58,0,6, ,0.0,29.34,30.06,10.2,4.416666666666667,19.183333333333334,180,10.0,41.995,-87.933,662
43,2,2007-05-22,87,60,74,13.0,44,58,0,9, ,0.0,29.41,30.05,10.6,4.416666666666667,19.183333333333334,160,10.1,41.786,-87.752,612
44,1,2007-05-23,89,60,75,14.0,49,61,0,10, ,0.0,29.39,30.1,11.8,4.416666666666667,19.2,190,11.4,41.995,-87.933,662
45,2,2007-05-23,89,66,78,17.0,48,61,0,13, ,0.0,29.47,30.1,11.2,4.416666666666667,19.2,180,10.9,41.786,-87.752,612
46,1,2007-05-24,88,63,76,14.0,54,63,0,11,RA HZ,0.02,29.41,30.11,17.3,4.4,19.216666666666665,210,14.9,41.995,-87.933,662
47,2,2007-05-24,88,66,77,15.0,53,63,0,12,RA HZ,0.01,29.47,30.1,15.2,4.4,19.216666666666665,200,13.8,41.786,-87.752,612
48,1,2007-05-25,70,56,63,1.0,44,53,2,0, ,0.01,29.51,30.24,8.8,4.383333333333334,19.233333333333334,50,4.9,41.995,-87.933,662
49,2,2007-05-25,66,57,62,0.0,46,53,3,0,RA BR,0.09,29.57,30.23,8.2,4.383333333333334,19.233333333333334,50,4.5,41.786,-87.752,612
50,1,2007-05-26,65,49,57,-5.0,55,56,8,0,TSRA RA BR HZ,1.01,29.36,30.11,7.2,4.366666666666666,19.25,170,2.8,41.995,-87.933,662
51,2,2007-05-26,70,50,60,-2.0,55,57,5,0,TSRA RA BR,0.28,29.42,30.1,7.8,4.366666666666666,19.25,150,2.5,41.786,-87.752,612
52,1,2007-05-27,75,57,66,4.0,47,56,0,1,RA BR,0.04,29.34,30.06,9.5,4.366666666666666,19.266666666666666,260,8.9,41.995,-87.933,662
53,2,2007-05-27,75,59,67,5.0,49,57,0,2,RA BR,0.08,29.41,30.05,9.2,4.366666666666666,19.266666666666666,240,8.2,41.786,-87.752,612
54,1,2007-05-28,79,50,65,2.0,47,56,0,0,RA,0.01,29.43,30.15,5.3,4.35,19.266666666666666,100,4.8,41.995,-87.933,662
55,2,2007-05-28,76,54,65,2.0,49,57,0,0, ,0.0,29.49,30.14,5.2,4.35,19.266666666666666,80,4.7,41.786,-87.752,612
56,1,2007-05-29,88,60,74,10.0,58,65,0,9,BR HZ,0.0,29.39,30.11,6.5,4.35,19.283333333333335,180,5.8,41.995,-87.933,662
57,2,2007-05-29,88,65,77,13.0,59,66,0,12,BR HZ,0.0,29.44,30.09,7.4,4.35,19.283333333333335,160,5.8,41.786,-87.752,612
58,1,2007-05-30,87,66,77,13.0,58,65,0,12,HZ,0.0,29.31,30.04,10.6,4.333333333333333,19.3,190,10.3,41.995,-87.933,662
59,2,2007-05-30,89,70,80,16.0,57,66,0,15,HZ,0.0,29.38,30.03,10.1,4.333333333333333,19.3,170,9.7,41.786,-87.752,612
60,1,2007-05-31,78,65,72,8.0,61,65,0,7,RA HZ,0.01,29.28,30.0,9.9,4.333333333333333,19.316666666666666,190,9.3,41.995,-87.933,662
61,2,2007-05-31,80,68,74,10.0,61,66,0,9,RA BR,0.53,29.34,29.99,9.2,4.333333333333333,19.316666666666666,180,8.9,41.786,-87.752,612
62,1,2007-06-01,85,62,74,10.0,63,66,0,9,TSRA BR HZ,0.19,29.19,29.91,6.4,4.316666666666666,19.333333333333332,170,4.2,41.995,-87.933,662
63,2,2007-06-01,86,67,77,13.0,63,67,0,12,TSRA BR HZ,0.21,29.25,29.9,5.8,4.316666666666666,19.333333333333332,160,4.7,41.786,-87.752,612
64,1,2007-06-02,81,65,73,9.0,63,67,0,8,RA BR,0.04,29.03,29.77,7.4,4.316666666666666,19.333333333333332,220,6.5,41.995,-87.933,662
65,2,2007-06-02,81,68,75,11.0,62,67,0,10,RA BR,0.01,29.1,29.76,8.2,4.316666666666666,19.333333333333332,210,7.5,41.786,-87.752,612
66,1,2007-06-03,78,62,70,6.0,60,63,0,5,TSRA RA BR HZ,0.01,28.82,29.56,6.7,4.3,19.35,250,5.2,41.995,-87.933,662
67,2,2007-06-03,77,64,71,7.0,60,64,0,6,RA BR HZ VCTS,0.32,28.87,29.54,7.2,4.3,19.35,240,4.9,41.786,-87.752,612
68,1,2007-06-04,71,58,65,1.0,58,60,0,0,TSRA RA BR,0.39,28.82,29.52,9.7,4.3,19.366666666666667,310,7.8,41.995,-87.933,662
69,2,2007-06-04,72,56,64,0.0,57,60,1,0,RA BR,0.31,28.88,29.51,10.1,4.3,19.366666666666667,300,7.9,41.786,-87.752,612
70,1,2007-06-05,64,47,56,-9.0,48,51,9,0,RA BR,0.42,29.1,29.79,7.6,4.283333333333333,19.383333333333333,50,5.2,41.995,-87.933,662
71,2,2007-06-05,63,51,57,-8.0,47,52,8,0,RA BR,0.27,29.16,29.78,8.1,4.283333333333333,19.383333333333333,30,6.2,41.786,-87.752,612
72,1,2007-06-06,71,44,58,-8.0,48,55,7,0,RA,0.01,29.07,29.81,11.4,4.283333333333333,19.383333333333333,170,10.8,41.995,-87.933,662
73,2,2007-06-06,73,48,61,-5.0,47,55,4,0,RA,0.01,29.13,29.82,10.6,4.283333333333333,19.383333333333333,150,9.6,41.786,-87.752,612
74,1,2007-06-07,91,71,81,15.0,62,69,0,16, ,0.0,28.84,29.55,23.1,4.283333333333333,19.4,200,22.7,41.995,-87.933,662
75,2,2007-06-07,92,71,82,16.0,61,68,0,17, ,0.0,28.91,29.55,20.7,4.283333333333333,19.4,190,20.3,41.786,-87.752,612
76,1,2007-06-08,81,57,69,3.0,53,61,0,4, ,0.0,29.18,29.85,13.8,4.283333333333333,19.416666666666668,280,10.9,41.995,-87.933,662
77,2,2007-06-08,81,63,72,6.0,54,62,0,7, ,0.0,29.24,29.83,12.4,4.283333333333333,19.416666666666668,260,9.3,41.786,-87.752,612
78,1,2007-06-09,79,52,66,0.0,47,57,0,1, ,0.0,29.36,30.07,5.0,4.266666666666667,19.416666666666668,330,0.3,41.995,-87.933,662
79,2,2007-06-09,79,57,68,2.0,49,58,0,3, ,0.0,29.42,30.05,4.7,4.266666666666667,19.416666666666668,190,2.4,41.786,-87.752,612
80,1,2007-06-10,81,55,68,1.0,51,59,0,3, ,0.0,29.34,30.05,5.6,4.266666666666667,19.433333333333334,170,4.8,41.995,-87.933,662
81,2,2007-06-10,81,61,71,4.0,50,60,0,6, ,0.0,29.39,30.04,5.8,4.266666666666667,19.433333333333334,160,4.6,41.786,-87.752,612
82,1,2007-06-11,86,58,72,5.0,52,61,0,7, ,0.0,29.41,30.11,6.9,4.266666666666667,19.433333333333334,110,4.9,41.995,-87.933,662
83,2,2007-06-11,85,65,75,8.0,51,61,0,10, ,0.0,29.47,30.09,8.4,4.266666666666667,19.433333333333334,90,6.6,41.786,-87.752,612
84,1,2007-06-12,83,62,73,5.0,50,60,0,8, ,0.0,29.44,30.16,8.8,4.266666666666667,19.45,50,8.3,41.995,-87.933,662
85,2,2007-06-12,82,66,74,6.0,51,61,0,9, ,0.0,29.49,30.14,10.0,4.266666666666667,19.45,50,9.4,41.786,-87.752,612
86,1,2007-06-13,87,60,74,6.0,53,62,0,9, ,0.0,29.36,30.09,8.6,4.266666666666667,19.45,50,7.2,41.995,-87.933,662
87,2,2007-06-13,86,68,77,9.0,53,62,0,12, ,0.0,30.09,30.09,8.6,4.266666666666667,19.45,50,7.0,41.786,-87.752,612
88,1,2007-06-14,89,64,77,9.0,55,64,0,12, ,0.0,29.3,30.02,6.8,4.266666666666667,19.466666666666665,50,5.6,41.995,-87.933,662
89,2,2007-06-14,89,68,79,11.0,54,63,0,14, ,0.0,29.36,30.0,6.4,4.266666666666667,19.466666666666665,70,5.9,41.786,-87.752,612
90,1,2007-06-15,91,63,77,9.0,56,64,0,12, ,0.0,29.28,29.99,4.9,4.266666666666667,19.466666666666665,60,4.1,41.995,-87.933,662
91,2,2007-06-15,89,67,78,10.0,56,65,0,13, ,0.0,29.34,29.97,4.1,4.266666666666667,19.466666666666665,90,3.8,41.786,-87.752,612
92,1,2007-06-16,93,66,80,11.0,60,67,0,15,RA HZ,0.01,29.26,29.97,5.8,4.266666666666667,19.483333333333334,280,4.8,41.995,-87.933,662
93,2,2007-06-16,92,68,80,11.0,61,68,0,15,HZ,0.01,29.33,29.96,6.1,4.266666666666667,19.483333333333334,220,2.1,41.786,-87.752,612
94,1,2007-06-17,91,70,81,12.0,64,70,0,16,HZ,0.0,29.23,29.95,6.3,4.266666666666667,19.483333333333334,110,2.8,41.995,-87.933,662
95,2,2007-06-17,91,71,81,12.0,65,70,0,16,HZ,0.16,29.28,29.93,6.1,4.266666666666667,19.483333333333334,110,4.0,41.786,-87.752,612
96,1,2007-06-18,89,69,79,9.0,65,70,0,14,TSRA RA HZ,0.28,29.12,29.84,15.1,4.266666666666667,19.483333333333334,200,14.0,41.995,-87.933,662
97,2,2007-06-18,89,73,81,11.0,65,70,0,16,TSRA RA HZ,0.02,29.19,29.83,12.6,4.266666666666667,19.483333333333334,200,12.2,41.786,-87.752,612
98,1,2007-06-19,80,65,73,3.0,55,63,0,8,RA,0.58,29.26,29.95,11.4,4.266666666666667,19.5,280,10.7,41.995,-87.933,662
99,2,2007-06-19,81,65,73,3.0,55,63,0,8,RA BR,0.93,29.31,29.93,11.3,4.266666666666667,19.5,290,10.1,41.786,-87.752,612
100,1,2007-06-20,84,61,73,3.0,52,61,0,8, ,0.0,29.39,30.1,8.8,4.266666666666667,19.5,270,7.8,41.995,-87.933,662
101,2,2007-06-20,85,62,74,4.0,50,61,0,9, ,0.0,29.46,30.09,7.7,4.266666666666667,19.5,280,5.9,41.786,-87.752,612
102,1,2007-06-21,77,61,69,-1.0,51,60,0,4,RA,0.01,29.36,30.08,10.7,4.266666666666667,19.5,30,3.5,41.995,-87.933,662
103,2,2007-06-21,80,66,73,3.0,51,61,0,8,RA,0.01,29.41,30.06,9.6,4.266666666666667,19.5,20,3.7,41.786,-87.752,612
104,1,2007-06-22,76,61,69,-1.0,50,58,0,4,RA,0.01,29.33,30.06,8.7,4.283333333333333,19.516666666666666,60,7.8,41.995,-87.933,662
105,2,2007-06-22,75,62,69,-1.0,49,58,0,4,RA,0.01,29.39,30.05,8.1,4.283333333333333,19.516666666666666,70,6.5,41.786,-87.752,612
106,1,2007-06-23,67,62,65,-5.0,58,61,0,0,RA BR,0.05,29.23,29.96,9.0,4.283333333333333,19.516666666666666,120,7.6,41.995,-87.933,662
107,2,2007-06-23,68,61,65,-5.0,60,62,0,0,RA BR,0.34,29.28,29.95,8.1,4.283333333333333,19.516666666666666,110,7.3,41.786,-87.752,612
108,1,2007-06-24,77,63,70,-1.0,62,65,0,5,BR HZ,0.0,29.26,29.97,8.0,4.283333333333333,19.516666666666666,90,7.0,41.995,-87.933,662
109,2,2007-06-24,75,65,70,-1.0,62,65,0,5,BR HZ,0.0,29.33,29.96,6.0,4.283333333333333,19.516666666666666,100,5.6,41.786,-87.752,612
110,1,2007-06-25,89,65,77,6.0,66,70,0,12,BR HZ,0.0,29.38,30.07,6.8,4.283333333333333,19.516666666666666,140,3.9,41.995,-87.933,662
111,2,2007-06-25,86,67,77,6.0,67,70,0,12,BR HZ,0.0,29.44,30.06,5.9,4.283333333333333,19.516666666666666,120,4.0,41.786,-87.752,612
112,1,2007-06-26,92,70,81,10.0,69,72,0,16,TSRA BR HZ VCTS,0.16,29.39,30.11,7.1,4.3,19.516666666666666,220,6.1,41.995,-87.933,662
113,2,2007-06-26,91,73,82,11.0,69,72,0,17,BR HZ,0.01,29.45,30.09,8.1,4.3,19.516666666666666,210,7.3,41.786,-87.752,612
114,1,2007-06-27,91,71,81,10.0,70,72,0,16,TSRA,0.15,29.29,30.02,8.8,4.3,19.516666666666666,240,7.5,41.995,-87.933,662
115,2,2007-06-27,89,71,80,9.0,69,72,0,15,TSRA RA BR,0.35,29.36,30.0,8.5,4.3,19.516666666666666,240,7.9,41.786,-87.752,612
116,1,2007-06-28,74,58,66,-5.0,55,60,0,1, ,0.0,29.41,30.09,12.5,4.316666666666666,19.516666666666666,30,11.9,41.995,-87.933,662
117,2,2007-06-28,73,61,67,-4.0,56,61,0,2, ,0.0,29.43,30.07,13.3,4.316666666666666,19.516666666666666,20,12.2,41.786,-87.752,612
118,1,2007-06-29,70,56,63,-8.0,55,59,2,0, ,0.0,29.41,30.13,8.3,4.316666666666666,19.516666666666666,20,7.6,41.995,-87.933,662
119,2,2007-06-29,71,56,64,-7.0,56,60,1,0, ,0.0,29.47,30.11,8.2,4.316666666666666,19.516666666666666,20,7.4,41.786,-87.752,612
120,1,2007-06-30,79,54,67,-5.0,46,56,0,2, ,0.0,29.41,30.13,5.8,4.316666666666666,19.516666666666666,30,4.9,41.995,-87.933,662
121,2,2007-06-30,77,58,68,-4.0,49,58,0,3, ,0.0,29.46,30.11,6.2,4.316666666666666,19.516666666666666,40,5.1,41.786,-87.752,612
122,1,2007-07-01,75,54,65,-7.0,52,58,0,0, ,0.0,29.51,30.23,8.6,4.333333333333333,19.516666666666666,40,8.6,41.995,-87.933,662
123,2,2007-07-01,76,61,69,-3.0,51,59,0,4, ,0.0,29.56,30.21,9.7,4.333333333333333,19.516666666666666,40,9.5,41.786,-87.752,612
124,1,2007-07-02,79,53,66,-6.0,50,58,0,1, ,0.0,29.49,30.22,8.1,4.333333333333333,19.516666666666666,140,5.9,41.995,-87.933,662
125,2,2007-07-02,77,58,68,-4.0,50,59,0,3, ,0.0,29.55,30.21,8.5,4.333333333333333,19.516666666666666,120,7.4,41.786,-87.752,612
126,1,2007-07-03,83,60,72,0.0,57,63,0,7,TSRA RA BR,0.4,29.31,30.06,7.3,4.35,19.516666666666666,210,6.7,41.995,-87.933,662
127,2,2007-07-03,83,63,73,1.0,56,63,0,8,TSRA RA,0.09,29.38,30.05,7.4,4.35,19.516666666666666,210,6.4,41.786,-87.752,612
128,1,2007-07-04,86,67,77,5.0,65,69,0,12,TSRA BR HZ FU,0.16,29.18,29.9,8.2,4.366666666666666,19.5,270,4.6,41.995,-87.933,662
129,2,2007-07-04,84,67,76,4.0,65,69,0,11,TSRA RA HZ FU,0.66,29.23,29.88,8.8,4.366666666666666,19.5,250,3.1,41.786,-87.752,612
130,1,2007-07-05,89,71,80,8.0,60,67,0,15,BR HZ FU,0.0,29.24,29.94,8.1,4.366666666666666,19.5,310,6.4,41.995,-87.933,662
131,2,2007-07-05,88,70,79,7.0,60,67,0,14,BR,0.0,29.29,29.92,6.9,4.366666666666666,19.5,330,4.3,41.786,-87.752,612
132,1,2007-07-06,86,66,76,4.0,57,64,0,11, ,0.0,29.32,30.03,5.5,4.383333333333334,19.5,50,3.2,41.995,-87.933,662
133,2,2007-07-06,84,68,76,4.0,57,65,0,11, ,0.0,29.38,30.01,5.5,4.383333333333334,19.5,70,3.3,41.786,-87.752,612
134,1,2007-07-07,90,64,77,5.0,63,69,0,12, ,0.0,29.18,29.91,8.6,4.383333333333334,19.5,220,8.4,41.995,-87.933,662
135,2,2007-07-07,88,68,78,6.0,62,68,0,13, ,0.0,29.24,29.9,8.1,4.383333333333334,19.5,230,7.4,41.786,-87.752,612
136,1,2007-07-08,94,75,85,12.0,67,72,0,20, ,0.0,29.05,29.77,13.1,4.4,19.483333333333334,240,12.9,41.995,-87.933,662
137,2,2007-07-08,93,75,84,11.0,67,72,0,19, ,0.0,29.12,29.76,12.7,4.4,19.483333333333334,230,12.6,41.786,-87.752,612
138,1,2007-07-09,94,70,82,9.0,66,70,0,17,TSRA RA VCTS,0.3,29.11,29.8,8.8,4.416666666666667,19.483333333333334,240,4.9,41.995,-87.933,662
139,2,2007-07-09,93,72,83,10.0,67,71,0,18,RA,0.24,29.16,29.79,8.8,4.416666666666667,19.483333333333334,230,4.8,41.786,-87.752,612
140,1,2007-07-10,89,69,79,6.0,67,70,0,14,HZ VCTS,0.43,29.06,29.77,10.5,4.416666666666667,19.483333333333334,230,8.6,41.995,-87.933,662
141,2,2007-07-10,89,70,80,7.0,67,71,0,15,TSRA HZ,0.08,29.13,29.76,10.2,4.416666666666667,19.483333333333334,230,8.2,41.786,-87.752,612
142,1,2007-07-11,77,62,70,-3.0,51,59,0,5, ,0.0,29.23,29.93,10.9,4.433333333333334,19.466666666666665,300,8.8,41.995,-87.933,662
143,2,2007-07-11,77,63,70,-3.0,51,59,0,5, ,0.0,29.28,29.92,11.2,4.433333333333334,19.466666666666665,300,9.1,41.786,-87.752,612
144,1,2007-07-12,80,61,71,-2.0,51,59,0,6, ,0.0,29.22,29.93,11.1,4.45,19.466666666666665,290,9.4,41.995,-87.933,662
145,2,2007-07-12,80,60,70,-3.0,51,60,0,5,VCTS,0.0,29.28,29.92,11.4,4.45,19.466666666666665,280,10.0,41.786,-87.752,612
146,1,2007-07-13,78,58,68,-5.0,52,58,0,3, ,0.0,29.26,29.98,5.3,4.466666666666667,19.45,10,1.4,41.995,-87.933,662
147,2,2007-07-13,74,59,67,-6.0,53,59,0,2, ,0.0,29.33,29.98,5.8,4.466666666666667,19.45,70,2.0,41.786,-87.752,612
148,1,2007-07-14,84,61,73,0.0,55,62,0,8, ,0.0,29.08,29.79,13.2,4.466666666666667,19.45,260,8.3,41.995,-87.933,662
149,2,2007-07-14,85,62,74,1.0,55,62,0,9, ,0.0,29.14,29.79,13.9,4.466666666666667,19.45,250,8.4,41.786,-87.752,612
150,1,2007-07-15,82,60,71,-3.0,53,61,0,6, ,0.0,29.19,29.89,4.9,4.483333333333333,19.433333333333334,290,2.1,41.995,-87.933,662
151,2,2007-07-15,80,64,72,-2.0,52,61,0,7, ,0.0,29.25,29.88,6.5,4.483333333333333,19.433333333333334,90,1.2,41.786,-87.752,612
152,1,2007-07-16,82,65,74,0.0,60,65,0,9,RA BR,0.39,29.25,29.96,5.2,4.5,19.416666666666668,240,4.4,41.995,-87.933,662
153,2,2007-07-16,82,66,74,0.0,60,65,0,9,TSRA RA,0.07,29.31,29.94,6.6,4.5,19.416666666666668,230,5.6,41.786,-87.752,612
154,1,2007-07-17,83,68,76,2.0,66,69,0,11,RA BR VCTS,0.11,29.18,29.9,6.5,4.516666666666667,19.416666666666668,230,5.2,41.995,-87.933,662
155,2,2007-07-17,83,69,76,2.0,65,69,0,11,RA BR,0.11,29.24,29.89,7.4,4.516666666666667,19.416666666666668,230,6.3,41.786,-87.752,612
156,1,2007-07-18,85,69,77,3.0,68,71,0,12,TSRA RA BR VCTS,1.55,29.11,29.84,10.1,4.533333333333333,19.4,240,9.1,41.995,-87.933,662
157,2,2007-07-18,85,69,77,3.0,69,71,0,12,TS TSRA RA BR HZ VCTS,0.92,29.18,29.83,10.6,4.533333333333333,19.4,240,10.3,41.786,-87.752,612
158,1,2007-07-19,83,63,73,-1.0,63,66,0,8,DZ BR,0.16,29.21,29.9,11.9,4.55,19.383333333333333,10,7.0,41.995,-87.933,662
159,2,2007-07-19,82,63,73,-1.0,62,66,0,8,BR HZ,0.01,29.26,29.88,14.4,4.55,19.383333333333333,360,7.7,41.786,-87.752,612
160,1,2007-07-20,75,58,67,-7.0,53,59,0,2, ,0.0,29.44,30.14,9.1,4.55,19.383333333333333,30,8.6,41.995,-87.933,662
161,2,2007-07-20,74,62,68,-6.0,52,59,0,3, ,0.0,29.49,30.12,11.5,4.55,19.383333333333333,40,11.3,41.786,-87.752,612
162,1,2007-07-21,74,58,66,-8.0,52,58,0,1, ,0.0,29.51,30.22,7.4,4.566666666666666,19.366666666666667,30,6.5,41.995,-87.933,662
163,2,2007-07-21,75,58,67,-7.0,52,59,0,2, ,0.0,29.57,30.21,7.4,4.566666666666666,19.366666666666667,40,5.8,41.786,-87.752,612
164,1,2007-07-22,81,58,70,-4.0,55,61,0,5, ,0.0,29.49,30.21,3.3,4.583333333333333,19.35,160,1.7,41.995,-87.933,662
165,2,2007-07-22,81,61,71,-3.0,54,61,0,6, ,0.0,29.54,30.2,3.5,4.583333333333333,19.35,180,1.9,41.786,-87.752,612
166,1,2007-07-23,83,60,72,-2.0,55,63,0,7, ,0.0,29.37,30.1,4.0,4.6,19.333333333333332,90,3.2,41.995,-87.933,662
167,2,2007-07-23,82,63,73,-1.0,55,63,0,8, ,0.0,29.42,30.09,3.9,4.6,19.333333333333332,120,2.9,41.786,-87.752,612
168,1,2007-07-24,82,65,74,0.0,58,64,0,9, ,0.0,29.32,30.04,5.2,4.616666666666667,19.316666666666666,200,3.1,41.995,-87.933,662
169,2,2007-07-24,82,65,74,0.0,57,64,0,9, ,0.01,29.38,30.03,4.9,4.616666666666667,19.316666666666666,210,1.1,41.786,-87.752,612
170,1,2007-07-25,85,71,78,4.0,61,67,0,13, ,0.01,29.29,30.0,6.6,4.633333333333333,19.3,250,5.8,41.995,-87.933,662
